Amount; BST_insert; BST_find; AVL_insert; AVL_find
10; 2.8e-06; 1e-06; 1.7e-06; 1e-06
25; 3.56667e-06; 9.88889e-07; 4.23333e-06; 9.88889e-07
100; 1.08e-05; 1e-06; 1.44333e-05; 1.01111e-06
500; 6.04667e-05; 1.04444e-06; 7.47667e-05; 1.02222e-06
1000; 0.000128433; 1.06667e-06; 0.000159567; 1.03333e-06
2500; 0.000348467; 1.06667e-06; 0.0004458; 1.03333e-06
5000; 0.0007603; 1.03333e-06; 0.00117803; 1.05556e-06
10000; 0.0016567; 1.05556e-06; 0.00201857; 1.02222e-06
25000; 0.0050642; 1.12222e-06; 0.00672827; 1.06667e-06
50000; 0.0123142; 1.15556e-06; 0.014063; 1.08889e-06
75000; 0.0182096; 1.16667e-06; 0.0225669; 1.34444e-06
100000; 0.0256661; 1.16667e-06; 0.0314522; 1.16667e-06
