Amount; BST_insert; BST_find; AVL_insert; AVL_find
10; 1.46667e-06; 1.06667e-06; 1.56667e-06; 1.13333e-06
25; 6.2e-06; 1.43333e-06; 5.16667e-06; 1.25556e-06
100; 1.35e-05; 1.07778e-06; 1.09e-05; 9.77778e-07
500; 0.0002276; 2.45556e-06; 6.20333e-05; 9.22222e-07
1000; 0.000876567; 5.27778e-06; 0.0001006; 9e-07
2500; 0.00547123; 6.08889e-06; 0.00028; 9.33333e-07
5000; 0.0224711; 1.29111e-05; 0.000555233; 9.33333e-07
10000; 0.0999211; 2.82556e-05; 0.0013655; 9.44444e-07
25000; 0.655391; 6.63889e-05; 0.00333003; 9.55556e-07
50000; 2.68781; 0.000135489; 0.00757853; 1.06667e-06
75000; 6.19769; 0.000191856; 0.0110707; 9.88889e-07
100000; 10.5568; 0.000298167; 0.0148954; 1.26667e-06
