Amount, BHeap Insert, BHeap Pop, PQueue Insert, PQueue Pop
1000, 0.0002172, 1.51e-06, 0.0001529, 6.4e-07
2000, 0.0005364, 1.41e-06, 0.0002998, 6.1e-07
3000, 0.0007602, 1.17e-06, 0.000491, 6.4e-07
4000, 0.001016, 1.7e-06, 0.0005911, 5.8e-07
5000, 0.0013028, 1.43e-06, 0.0008488, 6.6e-07
6000, 0.0015904, 2.82e-06, 0.0009729, 6.2e-07
7000, 0.0018646, 1.09e-06, 0.0011017, 7.8e-07
8000, 0.0020835, 1.14e-06, 0.0012274, 5.9e-07
9000, 0.002308, 9.8e-07, 0.0017878, 8.6e-07
10000, 0.0025645, 1.05e-06, 0.0019457, 9.2e-07
11000, 0.0027811, 1.49e-06, 0.0021289, 7.4e-07
12000, 0.0029863, 1.02e-06, 0.00225, 6.6e-07
13000, 0.0032143, 1.5e-06, 0.0023654, 6.1e-07
14000, 0.0034415, 1.17e-06, 0.0024816, 1e-06
15000, 0.0036556, 1.16e-06, 0.0026142, 7e-07
16000, 0.0038803, 1.02e-06, 0.0027316, 6.4e-07
17000, 0.0041003, 1.04e-06, 0.0034961, 1.12e-06
18000, 0.0043364, 1.54e-06, 0.0036574, 9e-07
19000, 0.0045738, 9.4e-07, 0.0037932, 7.2e-07
20000, 0.0047779, 9.6e-07, 0.0039104, 7e-07
21000, 0.0050164, 1.25e-06, 0.004034, 6.9e-07
22000, 0.0052251, 1.01e-06, 0.0041516, 6.6e-07
23000, 0.0054693, 1.16e-06, 0.0042695, 6.3e-07
24000, 0.0057151, 1.1e-06, 0.0043859, 6.7e-07
25000, 0.005935, 8.9e-07, 0.0044884, 6.2e-07
26000, 0.0061616, 1.05e-06, 0.0046035, 6.7e-07
27000, 0.0064257, 1.16e-06, 0.0047299, 6.5e-07
28000, 0.0066696, 1.5e-06, 0.0048481, 6.9e-07
29000, 0.0068974, 1.12e-06, 0.0049631, 6.3e-07
30000, 0.0071226, 1.02e-06, 0.0050801, 6.8e-07
31000, 0.0073572, 9.9e-07, 0.0051959, 6.1e-07
32000, 0.0075734, 1.01e-06, 0.0053116, 6.9e-07
33000, 0.0078738, 1.16e-06, 0.0054153, 6.5e-07
34000, 0.0082043, 1.48e-06, 0.0066825, 7.7e-07
35000, 0.0084693, 1.12e-06, 0.0068108, 7.3e-07
36000, 0.0086985, 1.07e-06, 0.0069272, 7.1e-07
37000, 0.0089132, 1.04e-06, 0.0070491, 7e-07
38000, 0.0091625, 1.36e-06, 0.0071653, 6.8e-07
39000, 0.009366, 1.35e-06, 0.0072799, 6.9e-07
40000, 0.0095793, 1.49e-06, 0.0073971, 6.9e-07
41000, 0.0097975, 1.14e-06, 0.0075138, 6.9e-07
42000, 0.0100168, 2.94e-06, 0.007638, 6.9e-07
43000, 0.0102331, 9.6e-07, 0.0077555, 6.8e-07
44000, 0.0104508, 1.65e-06, 0.0078714, 7.2e-07
45000, 0.0106652, 9.8e-07, 0.0079927, 7e-07
46000, 0.0108787, 1.2e-06, 0.0080956, 6.9e-07
47000, 0.0111653, 1.06e-06, 0.0082116, 6.5e-07
48000, 0.0113832, 1.09e-06, 0.0083291, 6.7e-07
49000, 0.0115928, 1.53e-06, 0.0085006, 7.1e-07
50000, 0.0118291, 1.51e-06, 0.0086965, 7.1e-07
51000, 0.0120686, 1.02e-06, 0.0088269, 7e-07
52000, 0.0122814, 1.65e-06, 0.0089438, 7.2e-07
53000, 0.012508, 9.1e-07, 0.009139, 1.47e-06
54000, 0.0127166, 9.8e-07, 0.0093311, 6.9e-07
55000, 0.0129472, 1.27e-06, 0.0094583, 7e-07
56000, 0.0131759, 1.01e-06, 0.0096008, 7.7e-07
57000, 0.0133806, 1.02e-06, 0.0097179, 7e-07
